Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Profile,,,,2024-02-13 11:26:53,2024-02-13 11:27:58,1m - 5.531s,FAILED
,,,,,,,
Test Cases/Profile/TC - Check Order History is Empty,,,,2024-02-13 11:26:53,2024-02-13 11:27:30,36.894s,PASSED
"startApplication(""D:\BFLP\Bootcamp\Materi\Solodroid_E-CommerceApp Demo_3.2.0.apk"", true)",,,,2024-02-13 11:26:54,2024-02-13 11:27:14,20.666s,PASSED
"tap(findTestObject(""Object Repository/Profile Objects/Check Order History/android.widget.ImageView""), 10)",,,,2024-02-13 11:27:14,2024-02-13 11:27:25,10.433s,PASSED
"tap(findTestObject(""Object Repository/Profile Objects/Check Order History/android.widget.FrameLayout""), 10)",,,,2024-02-13 11:27:25,2024-02-13 11:27:26,1.154s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Profile Objects/Check Order History/android.widget.TextView - Whoops, you havent ordered yet""), 10)",,,,2024-02-13 11:27:26,2024-02-13 11:27:27,1.620s,PASSED
closeApplication(),,,,2024-02-13 11:27:27,2024-02-13 11:27:30,2.669s,PASSED
,,,,,,,
Test Cases/Profile/TC - Edit Profile,,,,2024-02-13 11:27:30,2024-02-13 11:27:58,28.410s,FAILED
"startApplication(""D:\BFLP\Bootcamp\Materi\Solodroid_E-CommerceApp Demo_3.2.0.apk"", true)",,,,2024-02-13 11:27:30,2024-02-13 11:27:48,17.326s,PASSED
"tap(findTestObject(""Object Repository/Profile Objects/Edit Profile/android.widget.ImageView""), 10)",,,,2024-02-13 11:27:48,2024-02-13 11:27:58,10.782s,FAILED
